0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	2	0	1	7	
51	68	44	104	167	124	
3	0	0	0	0	8	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
20	6	12	26	0	5	
0	0	3	0	0	0	
4	5	3	0	0	0	
0	0	5	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	3	0	0	0	0	
7775	7304	7136	9353	12408	9633	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
9	11	0	7	5	4	
0	0	0	0	0	10	
0	0	0	0	0	0	
0	0	5	0	0	2	
0	0	0	0	0	0	
47	126	79	110	153	104	
0	11	0	6	3	0	
9	0	0	0	0	0	
0	2	2	6	6	10	
0	9	0	0	0	7	
0	0	0	0	7	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	6	0	0	0	
0	0	0	0	0	0	
3	0	6	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	3	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	8	
3	4	0	0	4	0	
0	0	0	7	0	0	
0	0	0	0	0	0	
0	0	0	1	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	3	2	2	7	4	
7	8	5	0	5	16	
0	0	0	0	0	0	
1	0	0	0	0	0	
25	20	9	15	13	0	
6248	4564	5570	5546	8987	6428	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	13	0	0	0	0	
0	0	0	0	0	0	
9	20	11	11	13	10	
0	0	0	0	0	0	
0	0	0	0	0	0	
5	6	7	0	4	4	
0	0	0	0	0	0	
8852	8342	6439	6246	7233	6179	
137	165	79	69	89	57	
324	359	209	230	282	237	
299	368	219	373	240	278	
25147	24568	17731	16400	17601	16166	
22724	25780	17044	18228	17896	17916	
1410	1466	1021	1059	1110	1123	
0	0	5	1	0	0	
282	315	188	223	241	151	
7810	8765	6243	8106	8031	8605	
16	53	49	53	29	33	
87	180	62	71	124	105	
1198	1335	975	1122	1100	991	
564	794	438	469	376	457	
232	246	120	177	179	173	
6694	6881	4903	4699	5069	4701	
2062	1937	1246	1168	1165	1276	
4516	4933	3100	4003	3603	3680	
4233	4861	3058	3714	4458	3376	
7603	7387	5306	6276	6010	5473	
239	198	209	222	217	202	
44007	61372	33418	40695	36637	36908	
495	447	348	417	340	307	
2	0	0	0	0	0	
445	498	303	324	307	265	
1026	1115	824	902	849	803	
282	320	245	370	220	333	
590	627	382	355	379	274	
214	155	100	173	196	153	
29	67	12	18	15	52	
441	254	225	506	514	482	
5	1	7	4	8	9	
84	59	62	85	66	88	
46	23	24	44	46	40	
23	39	7	0	14	15	
165	129	120	312	291	189	
294	414	368	206	277	276	
26	2	17	54	30	20	
5	2	23	29	10	3	
651	901	792	950	1279	1188	
760	812	597	839	924	768	
1520	1549	991	1346	1104	1082	
274	431	273	400	476	340	
20	22	23	29	23	29	
912	708	470	734	721	587	
1271	1438	920	802	706	958	
530	538	399	585	584	458	
627	822	441	807	681	732	
296	330	197	473	431	350	
626	573	448	550	473	513	
2776	2306	1599	2329	1973	2379	
26007	27073	16975	20023	16055	17006	
134	192	111	162	112	118	
407	390	317	322	402	400	
2956	2816	1980	2044	1910	1758	
520	669	403	475	519	511	
2405	2762	1761	1927	2179	1586	
1364	1313	1063	352	280	414	
306	283	250	177	78	101	
64	32	41	20	32	14	
130	168	93	75	101	89	
348	205	183	62	47	72	
9664	9996	6748	4504	5046	4476	
1703	2361	1542	1205	1256	1352	
4403	5366	4232	4774	4337	4562	
1399	1009	843	884	842	874	
1340	1623	976	844	982	980	
1007	1016	790	342	406	371	
391	381	265	303	358	370	
4	7	6	5	8	17	
9733	10088	6639	9385	9842	8008	
126	126	43	90	111	160	
3719	3923	2461	3734	3617	3553	
48	61	63	83	85	36	
108	90	64	87	86	61	
314	316	279	152	127	157	
2480	2862	1594	1142	897	1109	
33	59	27	46	18	52	
621	548	378	479	499	408	
737	816	649	585	703	712	
613	581	448	558	480	379	
150	134	127	153	78	127	
99	90	44	62	96	79	
141	127	90	156	128	132	
3	0	6	23	2	3	
791	1120	637	1185	1162	1138	
950	1125	791	1316	1421	1247	
2730	2318	2242	3755	4580	3721	
337	466	295	931	1151	791	
24	7	5	6	20	38	
22	17	11	25	41	20	
133	224	100	325	273	184	
30	64	43	45	60	52	
31	18	8	35	8	24	
132	193	153	249	162	244	
286	272	159	224	236	195	
43	45	34	25	20	45	
6	2	8	16	0	13	
0	2	2	0	0	0	
4594	4722	2921	2001	1679	1780	
403	493	277	480	451	359	
59	124	57	78	71	120	
3085	2972	2246	2334	2559	2302	
239	228	233	286	253	157	
1163	1298	1103	1383	1563	1594	
32	26	9	3	17	13	
617	849	602	846	594	722	
5	9	11	15	17	0	
1278	1458	983	1579	1676	1517	
906	1023	666	839	722	642	
607	757	459	660	517	535	
85	181	34	261	154	205	
0	0	2	5	0	0	
74	120	41	107	62	53	
1387	1553	1095	1336	1215	1131	
0	0	5	0	0	0	
350	264	289	262	456	362	
54	37	35	59	39	54	
145	134	108	139	127	104	
1478	1824	1061	1057	987	915	
253	269	196	138	151	158	
173	94	98	42	67	94	
175	196	105	110	130	92	
6	1	0	4	0	3	
341	405	261	520	400	314	
9	20	22	9	25	48	
71	59	33	59	63	107	
54	58	62	20	72	54	
471	540	429	453	561	539	
97	93	107	170	100	163	
48	21	8	12	9	7	
8	13	11	4	6	0	
12	68	10	27	25	24	
292	406	239	295	280	272	
1777	1860	1372	1183	1443	1127	
382	357	217	318	324	265	
162	118	105	70	59	102	
11938	13375	8113	9601	7847	9273	
30	13	9	14	6	16	
411	486	319	444	394	463	
580	530	386	1022	1118	922	
399	302	202	285	289	174	
413	488	345	374	266	447	
743	797	529	1140	942	999	
42	35	22	75	76	92	
2405	2612	1866	3266	2795	3146	
230	309	159	385	263	259	
577	747	467	656	636	567	
47	72	77	64	81	129	
364	389	325	369	480	528	
16	25	7	10	13	53	
1848	2070	1368	1469	1279	1413	
1774	1868	1395	2311	2164	2362	
1842	2069	1434	1909	1897	1827	
511	599	402	455	504	431	
778	870	610	764	856	692	
274	249	246	342	325	190	
58	81	95	97	68	131	
1	0	3	0	18	6	
5	0	7	0	6	0	
2074	2137	1621	1417	1578	1257	
791	802	515	603	677	519	
879	1217	679	843	622	830	
1233	1247	943	1086	1048	1030	
1201	1146	935	675	717	677	
276	364	196	212	227	316	
104	82	71	117	67	102	
88	46	56	49	35	27	
18	9	6	28	5	19	
167	174	169	218	199	117	
702	983	560	823	825	870	
796	776	591	822	998	776	
777	943	575	832	881	857	
299	363	286	386	367	315	
8379	9134	6090	6658	6193	6683	
3274	5116	3739	4297	4541	4046	
23661	25232	20207	23076	23009	22356	
14406	15935	11556	14378	15281	13332	
5778	5997	4536	6487	6415	6086	
11605	13358	9777	13310	13186	12668	
2080	2005	1554	1691	2064	1576	
2582	2850	1881	2252	2053	1991	
1955	2263	1560	1801	1819	1289	
6623	7899	5602	8011	8124	7705	
33704	32777	22724	20503	20386	20666	
233	132	146	79	198	139	
2154	2450	1621	1811	1908	1534	
1289	1090	814	1262	1165	1179	
511	538	397	433	395	374	
2220	2166	1418	1641	1511	1439	
292	223	167	174	165	136	
1872	2008	1354	1384	1204	1336	
62	47	27	37	29	13	
85	99	55	106	84	77	
77	85	35	143	100	101	
1054	915	906	924	934	991	
658	423	399	446	382	461	
134	117	89	84	49	65	
1839	1775	1075	1697	1615	1621	
115	99	79	60	80	93	
38	37	31	54	46	50	
5	0	0	0	0	0	
50	41	22	1	70	48	
360	328	236	416	366	314	
4064	5111	3323	5446	4799	4680	
4851	4720	3341	3773	4095	3757	
154	131	101	117	134	111	
