0	0	0	0	0	0
0	0	0	0	0	0
4	0	2	0	0	6
1	4	2	0	8	4
0	0	0	0	0	0
0	0	0	0	0	0
8	2	10	0	18	7
45	68	47	104	167	129
10	0	0	0	0	8
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
25	6	24	28	0	5
0	0	3	0	0	0
25	29	18	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	3	0	0	0	0
7646	7212	6949	9170	12250	9395
0	0	0	0	0	0
0	0	0	8	0	0
67	107	89	80	68	89
0	0	0	0	0	0
26	12	8	7	27	10
43	63	14	17	16	22
0	0	0	0	0	0
0	0	5	0	0	2
0	0	0	0	0	0
47	126	79	107	153	104
2	13	10	6	11	0
12	0	0	0	0	16
0	1	2	5	0	10
0	8	0	0	0	0
18	6	0	7	27	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	10	0	0	0
0	0	0	0	0	0
3	0	1	0	0	0
0	4	4	0	30	0
0	0	0	5	0	0
0	3	3	0	0	0
0	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	0
5	0	0	0	0	8
0	4	0	0	0	0
9	0	3	7	0	0
0	0	5	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	10	7	0	5	0
0	0	0	0	0	0
37	14	16	20	8	16
138	49	64	37	58	74
0	0	6	0	0	0
10	2	0	0	0	2
95	56	45	61	56	31
6538	5102	6016	5790	9384	6565
0	8	0	5	0	0
0	0	0	0	0	0
46	38	43	59	69	53
5	0	7	0	9	18
12	20	25	16	13	10
0	0	0	0	0	0
0	0	0	0	0	0
110	228	151	148	159	116
2	0	5	0	0	0
8912	8468	6522	6258	7252	6190
143	165	79	69	89	57
325	359	213	230	280	233
326	378	226	402	261	288
25467	24918	17908	16655	17824	16342
22871	25917	17135	18273	17987	18031
1534	1651	1142	1155	1224	1238
0	0	9	1	0	0
286	329	201	223	271	181
7985	8953	6364	8303	8203	8729
32	55	66	86	23	29
104	178	75	86	129	131
2916	3395	2226	2599	2793	2631
570	817	464	470	405	478
296	284	178	233	210	205
6694	6876	4914	4698	5059	4708
2046	1908	1236	1150	1140	1262
4507	4931	3086	4001	3600	3671
4196	4812	3041	3678	4429	3355
7628	7389	5313	6269	5982	5456
256	223	235	262	274	216
44097	61587	33553	40822	36745	36996
508	453	348	418	342	307
2	0	0	0	4	0
472	525	319	367	342	295
1132	1172	877	970	910	896
353	396	282	484	345	447
760	926	548	528	477	406
251	201	117	214	216	207
91	114	34	82	80	88
467	279	243	553	550	491
5	6	11	4	13	9
86	70	69	99	66	94
48	36	29	44	46	40
25	39	9	0	19	23
169	134	120	312	291	189
314	414	374	200	271	273
20	1	17	32	30	20
5	2	21	29	10	3
640	897	790	946	1266	1187
788	823	631	865	967	795
1549	1562	1006	1353	1116	1092
274	441	277	399	476	354
20	40	26	37	48	38
1584	1431	929	1336	1351	1327
1270	1438	921	796	706	958
576	580	434	599	610	501
651	878	484	846	697	819
310	364	224	502	465	382
656	620	476	561	498	532
3635	2942	2128	3011	2819	3060
26797	28069	17608	20786	16927	17694
153	196	117	162	112	118
772	666	586	694	687	685
3166	3084	2155	2256	2119	1926
514	608	401	461	489	485
2446	2760	1786	1948	2187	1593
1701	1650	1238	473	384	523
344	328	257	185	94	115
79	57	63	29	33	33
143	177	99	95	101	98
320	163	154	35	23	46
10549	10820	7272	4949	5595	4899
2200	3073	1931	1576	1626	1779
5294	6755	5266	5769	5060	5846
1530	1176	935	1000	930	1002
1401	1702	1038	859	1048	1018
1012	1024	794	342	406	371
444	496	327	369	372	444
29	47	17	32	25	22
9740	10086	6637	9384	9849	8006
139	135	71	92	111	173
3786	3968	2500	3791	3669	3612
69	85	74	98	108	51
121	107	71	89	106	62
321	309	274	155	131	157
2494	2897	1605	1151	897	1111
54	96	57	52	34	68
740	660	475	582	581	507
736	821	652	587	703	722
668	599	480	605	487	396
172	152	153	171	82	148
121	90	65	71	117	79
144	134	90	155	128	132
9	0	9	23	2	3
787	1088	622	1169	1126	1098
929	1104	785	1307	1415	1234
2756	2333	2256	3769	4609	3742
340	465	299	933	1165	790
24	25	5	12	21	48
22	17	11	16	41	20
133	224	100	325	273	184
30	72	43	45	59	51
31	18	8	35	8	24
136	204	157	254	162	245
290	295	170	230	239	204
46	47	35	30	24	45
6	9	8	26	3	13
9	86	27	25	24	29
4639	4834	2966	2040	1704	1824
521	620	375	540	543	424
66	127	60	78	75	120
0	8	0	13	0	0
257	249	237	309	261	171
1176	1312	1110	1406	1615	1639
32	26	9	3	17	13
617	849	602	846	594	722
4	6	2	9	17	0
1282	1481	992	1587	1675	1526
1171	1433	883	1109	976	874
663	803	500	729	568	569
85	184	34	261	154	205
0	0	5	7	0	0
82	139	44	136	86	65
1535	1687	1215	1550	1376	1348
0	0	5	0	0	0
506	441	390	382	628	464
54	36	35	61	39	54
151	144	114	155	132	104
1531	1876	1107	1081	1017	946
278	295	215	150	167	168
173	94	102	42	70	94
175	199	105	110	130	92
6	13	0	4	0	7
400	462	289	563	485	377
9	20	23	9	25	48
71	59	33	59	63	107
54	58	62	20	72	54
480	551	439	480	579	571
97	93	109	173	100	163
55	26	11	12	12	7
14	13	11	4	6	0
20	73	20	24	33	24
399	502	319	350	324	360
1785	1902	1384	1208	1461	1160
415	392	261	344	343	309
170	128	127	70	59	113
12372	13799	8352	9864	8069	9554
38	26	21	19	10	16
419	486	323	445	396	463
582	530	386	1030	1144	927
390	302	202	289	291	174
472	557	432	467	345	479
858	945	622	1352	1088	1209
47	35	22	97	76	92
3107	3558	2519	4513	3812	4325
252	327	161	389	270	267
781	1023	695	823	805	711
82	121	110	102	115	184
401	460	362	405	517	563
18	25	13	20	13	53
1995	2193	1459	1633	1438	1550
1848	1923	1464	2362	2199	2390
1891	2109	1464	1935	1922	1869
546	639	439	526	538	494
815	903	624	810	882	739
302	282	273	360	362	211
60	85	101	101	68	131
10	1	5	7	24	12
5	0	7	0	6	10
2072	2137	1630	1417	1584	1257
794	811	517	609	679	524
885	1217	679	836	622	836
1230	1247	943	1090	1048	1029
1224	1146	943	693	722	693
330	385	215	221	232	337
131	109	104	117	84	129
88	46	56	49	35	27
18	9	6	28	5	19
167	174	173	218	209	117
822	1240	684	900	948	970
990	951	767	1157	1341	1106
828	1054	616	899	981	891
315	384	290	393	389	322
8384	9128	6107	6672	6206	6694
3947	5959	4322	4977	5311	4619
24744	26370	20997	24008	24025	23181
14399	15931	11554	14372	15270	13326
5739	5938	4464	6426	6334	6021
11550	13261	9725	13234	13121	12540
2090	2027	1557	1716	2080	1585
2569	2837	1874	2236	2053	1991
1860	2139	1466	1729	1661	1217
6678	7941	5625	7987	8140	7709
33738	32788	22730	20516	20387	20667
255	165	157	79	223	178
2283	2580	1732	1951	2017	1646
1314	1154	851	1285	1189	1220
558	613	465	468	465	402
2368	2369	1595	1769	1635	1579
311	255	162	190	197	159
1908	2021	1361	1397	1218	1337
1281	838	668	733	995	776
85	134	72	115	93	97
128	159	81	235	165	150
1270	1158	1078	1125	1115	1108
1094	734	671	806	835	831
159	143	122	117	77	85
1923	1838	1140	1750	1637	1644
115	107	95	71	86	100
38	37	31	59	46	50
5	20	8	7	5	13
50	41	30	1	70	48
473	421	329	568	491	546
4063	5110	3317	5443	4798	4677
4872	4752	3361	3787	4123	3771
166	143	98	117	160	126
1912	2296	1327	1549	1645	1445
242	251	162	183	239	288
1584	1595	1200	2183	1713	1626
241	218	233	111	70	131
295	365	227	307	263	249
156	173	101	118	140	124
11441	10344	7584	8345	8920	8271
442	456	394	469	432	443
1118	1115	894	1208	1196	1228
48	41	26	31	18	45
64	70	58	42	92	50
1372	1421	948	1397	1803	1627
128	93	109	114	84	97
99	90	44	83	83	54
94	136	138	129	91	67
624	714	457	666	705	653
152	138	101	124	140	96
300	417	236	265	213	343
80	54	43	53	39	37
